,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,BKR,WHR,PKI,LYB,NVR,LLY,TJX,EXC,GM,BLK,LIN,GS,COO,TTWO,ORCL
1,BEN,LKQ,K,GLW,TDY,TER,IP,MKC,SJM,EXC,UDR,WRK,LYB,NWL,TXN
2,ANSS,CTRA,CDAY,OXY,IPGP,TRMB,ALLE,KHC,DOW,BRO,SNA,PARA,MAA,BRKB,CEG
3,FBHS,XYL,SIVB,COO,PPG,ARE,CNC,OMC,TTWO,HUM,BK,CBOE,RE,LEN,WBD
4,QRVO,ANSS,SBAC,ICE,BBWI,CVX,PXD,SNPS,CTAS,FLT,VRSK,NUE,TAP,KMB,SEE
5,CB,APD,WAB,UDR,SWK,TWTR,TXT,HSIC,STX,TECH,MO,TMO,ALB,MSI,LIN
6,OXY,CPRT,RCL,EQIX,DTE,AMGN,CRM,MRNA,FFIV,AVB,MDT,JBHT,DIS,XEL,ETR
7,TSN,ILMN,FTV,SNA,ARE,AMD,VFC,AON,AKAM,TER,DGX,HPQ,NKE,AMP,SJM
8,DUK,MTB,SPG,NVR,LH,DISH,CTLT,LEN,KMX,POOL,REG,EA,ORLY,PFE,AVB
9,AEE,PEAK,DVN,SYK,ES,AJG,JNPR,SRE,SHW,MMM,CMCSA,DUK,ALL,D,SRE
10,MO,EQR,DOV,AMCR,NTAP,GS,HAS,CTLT,MCO,BIO,IBM,HBAN,CHRW,BA,AMZN
11,CCL,FITB,TDY,ABT,BKNG,EQIX,VFC,IRM,DHI,TYL,LKQ,MLM,BFB,AOS,WM
12,CNC,EVRG,PXD,NWL,FANG,T,ECL,ABT,MAR,VTRS,PNR,JNJ,ADM,WMB,GPC
13,GS,ABMD,DG,BLK,CFG,ROST,UPS,EL,HSY,ETR,CNP,BR,BRKB,FIS,TER
14,IEX,ALL,DFS,CDNS,URI,AFL,TTWO,CAG,IP,VNO,TXN,APA,SNA,MPWR,CVX
15,HIG,HST,ENPH,PEP,MCK,PAYC,AFL,AEE,CPB,AEP,FRC,PEG,MNST,MAS,SHW
16,BMY,AMAT,CVX,ABBV,XYL,ISRG,TMUS,SBNY,LYV,ORCL,KO,STT,CHRW,BEN,CMA
17,SIVB,RTX,TSCO,CMS,ANSS,BMY,PYPL,EXC,ADM,TEL,MU,LKQ,PYPL,CAT,APH
18,EL,LUV,WTW,IVZ,PNW,CI,CTLT,JNJ,NSC,HSIC,NCLH,FTNT,BXP,WEC,GPN
19,GIS,MAA,CARR,MPWR,JPM,EXPE,IRM,ROP,MDLZ,BXP,NDAQ,UNH,APA,CDW,ROL
20,KLAC,NUE,ALK,KMI,HPQ,DGX,K,EXPD,LIN,RTX,PYPL,RCL,DTE,IQV,KIM
21,VMC,NDSN,CDW,ZTS,CE,ALB,WAT,INTU,VLO,UAA,IR,NOW,WEC,FAST,LLY
22,GL,BWA,REGN,HIG,V,CMG,APA,ZTS,COST,WMT,GILD,J,WDC,DVN,D
23,NRG,ALLE,SBNY,AAPL,CHTR,NCLH,AMAT,BA,CTAS,EXPD,VZ,LKQ,BEN,MSCI,MET
24,AMP,MCHP,ICE,ABMD,TFX,STT,GE,AMGN,TJX,NWSA,VRTX,CFG,EMR,ZBH,IPGP
25,FB,IRM,MKTX,CNC,TSN,CNP,SWK,WTW,ROL,CL,ECL,EFX,ADM,MSFT,J
26,IPG,CE,DVA,DLR,AES,CRL,MRNA,FRC,APD,NDSN,MU,DIS,HIG,CRL,REG
27,CPRT,RL,FE,AES,CMA,FAST,T,ALLE,VRSN,BIO,LIN,MRNA,AOS,AFL,PLD
28,BLL,MPWR,NVDA,RHI,HLT,FDX,FITB,SIVB,PXD,MLM,TRV,XEL,EQIX,CME,MDLZ
29,WYNN,PAYX,XOM,BA,SPG,MCHP,PEG,PKG,ADP,FOX,ILMN,CARR,IPGP,IQV,OKE
30,KIM,AVGO,WAB,HPE,PSA,EMR,CTVA,BLK,NWL,PSA,IR,MGM,PNC,LNC,MPWR
31,CMA,MPWR,ISRG,GILD,RHI,CMG,DE,WEC,LMT,CDNS,FAST,PGR,GWW,MGM,VTR
32,TEL,HLT,A,UAL,COF,MSCI,DRE,HBAN,MTB,BK,XYL,APH,NLSN,LOW,FOXA
33,NWL,BBY,TGT,TSCO,DOV,CHTR,ESS,PVH,CERN,ROK,SNPS,AAP,APTV,ADI,FB
34,DUK,NDAQ,KLAC,USB,CRL,CAT,ROK,SCHW,SO,OMC,CAG,MNST,EXR,TMO,ADBE
35,T,MLM,HIG,ORCL,UDR,ZBRA,WY,COF,RSG,ABC,CSCO,PEG,CTSH,TRV,HII
36,NWL,NUE,AIG,GIS,EVRG,IVZ,EXC,CMI,KHC,MPWR,ALK,ETN,ABC,SYF,L
37,C,ROK,NWSA,RCL,WFC,BMY,JCI,FMC,HD,PNW,HOLX,VRSK,ZTS,PRU,CMS
38,EW,NEM,LYV,NTAP,TFX,DPZ,PSX,FITB,PYPL,O,LYV,CTLT,GPN,NUE,HCA
39,PEAK,PFE,PEAK,LNC,CEG,FLT,ANET,CSX,DD,WM,NWSA,SNPS,CFG,NUE,VLO
40,APD,AOS,AVGO,UAA,KLAC,EQR,MSCI,PAYX,CME,HAS,ILMN,CF,SHW,FB,WTW
41,IEX,TT,ABBV,CERN,A,PNC,NWSA,CNC,LHX,SWKS,ZTS,MCO,NXPI,CNC,HES
42,URI,AON,MKC,DPZ,SYY,ITW,AMCR,FMC,SWK,APTV,AKAM,GOOGL,OGN,CBOE,BWA
43,BKNG,GS,CTLT,APTV,ECL,LNT,UNH,MKTX,MAA,LDOS,AVGO,NRG,LDOS,BMY,VZ
44,DGX,BXP,FOXA,SEE,KIM,CEG,HSIC,HES,MCO,PEAK,CMS,XYL,HD,HES,FLT
45,WST,CMS,MDLZ,WFC,MTD,MAS,NVDA,PH,FE,AAPL,ANET,MAR,WMB,ABT,DOW
46,UPS,SEE,JPM,CAH,MS,EFX,TRV,FMC,HPQ,PPL,ROL,EXPD,LRCX,EVRG,CDW
47,ABMD,DOW,ADSK,XTSLA,LDOS,SCHW,VMC,WST,CEG,VLO,NFLX,VTRS,SO,STT,PFG
48,DD,F,PKG,OTIS,LUV,CTLT,SPG,RTX,IP,ALK,INTC,ED,POOL,WY,ABMD
49,AXP,AVY,EA,BR,ADP,VFC,INCY,ODFL,CMCSA,CMA,HII,SWKS,NEE,JBHT,GE
50,UAL,ES,PCAR,TT,PSX,YUM,ODFL,NDSN,HES,CNC,EW,NUE,LDOS,ADM,USD
51,NDSN,YUM,FTV,GD,KHC,FIS,DGX,PHM,CTRA,GE,TER,HSY,HST,UHS,A
52,MO,AEP,SNPS,TXN,MCK,PKG,EBAY,HAS,OTIS,AAPL,PAYC,KHC,MTCH,MAS,TWTR
53,RE,BWA,BRO,NI,SLB,MKC,AME,CDAY,VNO,AVB,LNT,DE,CERN,FTV,SYY
54,EL,TRMB,TTWO,RJF,AMT,CPT,MTCH,AMAT,CLX,AMCR,MHK,EW,SLB,REG,GPC
55,HON,ABT,USB,MTD,MHK,KLAC,MKC,DLR,ITW,XRAY,LOW,BA,DGX,DXC,SEE
56,EL,PG,IT,C,ARE,ROP,ROK,AMGN,FOX,TROW,CARR,AMAT,ATVI,EW,PTC
57,GILD,AOS,WDC,TFC,EXPD,FIS,ABMD,BRKB,UA,MKTX,FIS,JCI,ATO,CB,VTRS
58,CMI,KEY,MCO,DXCM,DXCM,PARA,DOV,ADI,WMT,GOOGL,WHR,ABT,CZR,T,IPG
59,BXP,AVGO,ORLY,AMAT,SEDG,OGN,FMC,FISV,BIO,EQIX,NOC,ALK,VFC,TSLA,LYV
60,VTRS,GPC,INCY,L,INCY,DHI,GIS,ACN,WMT,STT,IVZ,IDXX,HSY,WMB,MCO
